act-avg,sat-avg,enrollment,acceptance-rate,rankingDisplayScore,percent-receiving-aid,cost-after-aid,tuition,displayName,overallRank,institutionalControl
19,890,21748,74,32,,,29806,Indiana University-Purdue University--Indianapolis,192,public
23,1040,35871,59,32,,,27337,University of Houston,192,public
19,950,20215,47,32,,,22412,University of New Mexico,192,public
21,960,11255,84,32,,,21462,University of North Dakota,192,public
21,930,3591,70,32,,,44166,Widener University,192,private
18,820,12027,60,31,,,22701,New Mexico State University,198,public
21,1000,12010,93,31,,,20571,North Dakota State University,198,public
22,1000,4295,53,31,,,29940,Nova Southeastern University,198,private
22,1030,23404,62,31,,,20268,University of North Carolina--Charlotte,198,public
20,920,14852,75,30,,,18593,Bowling Green State University,202,public
19,920,34576,48,30,,,17460,California State University--Fullerton,202,public
19,1030,3223,43,30,,,27480,Dallas Baptist University,202,private
21,960,12847,69,30,,,32985,University of Massachusetts--Boston,202,public
21,970,18191,83,30,,,21787,University of Nevada--Reno,202,public
20,890,19923,72,29,,,23670,Central Michigan University,207,public
20,970,22969,70,29,,,23420,East Carolina University,207,public
19,900,7769,31,29,,,17725,Florida A&M University,207,public
21,1010,14400,83,29,,,23042,Montana State University,207,public
19,950,7239,73,29,,,23534,University of Alaska--Fairbanks,207,public
21,960,14622,61,29,,,31209,University of Colorado--Denver,207,public
20,910,6999,76,29,,,28285,University of Massachusetts--Dartmouth,207,public
20,950,10077,92,29,,,24943,University of Montana,207,public
19,,18313,82,29,,,14699,Western Michigan University,207,public
23,1030,45813,49,28,,,18956,Florida International University,216,public
21,980,11281,63,28,,,18438,Louisiana Tech University,216,public
20,890,10959,91,28,,,11403,South Dakota State University,216,public
19,880,12182,77,28,,,13936,Southern Illinois University--Carbondale,216,public
25,1060,6507,76,28,,,21480,University of Alabama--Huntsville,216,public
21,980,11708,62,28,,,25999,University of Missouri--Kansas City,216,public
20,980,24838,90,28,,,20726,Utah State University,216,public
20,950,4536,72,27,,,20700,Ashland University,223,private
20,,3171,73,27,,,33900,Benedictine University,223,private
16,800,21528,54,27,,,17929,California State University--Fresno,223,public
18,870,2362,52,27,,,30740,Gardner-Webb University,223,private
20,950,25455,53,27,,,29432,Georgia State University,223,public
19,880,2099,88,27,,,31920,Shenandoah University,223,private
19,830,7500,88,27,,,11688,University of South Dakota,223,public
